Price,Close,High,Low,Open,Volume
Ticker,TM,TM,TM,TM,TM
Date,,,,,
2015-11-06,118.83442687988281,119.09545684612895,118.22536925166085,119.07611746857887,277500
2015-11-09,118.15769958496094,118.90210337422761,117.66464870459325,118.8344303024761,189000
2015-11-10,119.4821548461914,119.61750836042819,118.98911136013218,119.10511812117608,202700
2015-11-11,119.1341323852539,119.91720755971231,119.1341323852539,119.91720755971231,146800
2015-11-12,117.68399047851562,118.80543102977273,117.47130156987761,118.80543102977273,282000
2015-11-13,117.23926544189453,118.41871667396173,117.17159237329123,118.08035133094523,289500
2015-11-16,117.98368072509766,118.03201441819479,116.96857728450755,116.97824697345159,183900
2015-11-17,119.0567855834961,119.56916845190396,118.47672964521948,118.70875054536783,225000
2015-11-18,120.75828552246094,120.7969495247363,119.27913296994205,119.50149154998697,217500
2015-11-19,119.77218627929688,120.33291020934493,119.64650982979425,119.74318458908945,213000
2015-11-20,119.55950164794922,120.0138811462365,119.25013798168303,119.90753669447516,158700
2015-11-23,119.02778625488281,119.77219003821062,118.58307644751909,119.49182806438775,175700
2015-11-24,119.89786529541016,120.06222050312277,119.14379183062951,119.69484608380087,242600
2015-11-25,119.7431869506836,119.89786509344424,119.50149635977326,119.89786509344424,110500
2015-11-27,120.23624420166016,120.59394157466919,120.12989974595156,120.34258865736876,63900
2015-11-30,120.2845687866211,120.69060719994881,120.07187989131286,120.65194319699398,189700
2015-12-01,121.73471069335938,122.17942047958695,121.37701335216067,121.57036286762964,201100
2015-12-02,121.56069946289062,122.82716319485603,121.29967686593349,122.59513491332568,252600
2015-12-03,120.57460021972656,122.44045183087849,120.39091301487487,122.421112453625,601400
2015-12-04,121.71538543701172,121.71538543701172,120.43925938709071,120.43925938709071,279900
2015-12-07,120.99031066894531,121.42535078004464,120.37158334942956,121.31900633052055,161000
2015-12-08,118.44772338867188,119.00844733849232,117.90633881687921,119.00844733849232,516000
2015-12-09,119.7818603515625,120.58427489711978,118.96011380376325,119.97520987722882,340900
2015-12-10,120.73895263671875,121.23200351406594,120.45859066237668,120.84529708822132,255600
2015-12-11,119.55950164794922,120.09122390675594,118.82476755044925,119.91720638349298,463000
2015-12-14,118.42839050292969,119.76251992024196,117.62597596442934,119.48215794742335,414400
2015-12-15,118.10935974121094,118.88277260566448,118.0610260470649,118.49606617343771,245200
2015-12-16,122.45012664794922,122.67247786499777,120.7002817237862,120.90330093858292,493100
2015-12-17,120.65194702148438,122.42111655729566,120.56493457254952,122.15042427316328,352800
2015-12-18,120.25556945800781,120.84529508810267,119.83019165903802,120.6809472569776,359000
2015-12-21,120.50692749023438,121.22232955859046,119.54016514755429,120.60360224934011,274100
2015-12-22,121.40601348876953,121.81205189154667,120.65194006195163,121.3093387322718,332800
2015-12-23,122.92383575439453,123.04951220611224,122.03441615190432,122.45012426243083,298400
2015-12-24,121.5896987915039,121.91840182937902,121.23200143876541,121.23200143876541,102300
2015-12-28,120.33291625976562,120.7002833138834,120.1008953506287,120.29424487894086,283800
2015-12-29,120.61327362060547,120.92263727954641,119.96553723635698,119.96553723635698,160400
2015-12-30,119.12445831298828,120.29423987498359,119.01811386409676,120.26523818452434,334100
2015-12-31,118.950439453125,120.19756375948988,118.57340272978345,119.25013341890642,221000
2016-01-04,117.42295837402344,118.19637123219674,116.1758340125201,117.48096175685235,413500
2016-01-05,117.11358642578125,117.50029282752709,116.16616348610565,117.50029282752709,306400
2016-01-06,114.44532775878906,114.85137356354353,113.84593980439102,114.62901497103961,277600
2016-01-07,111.72872924804688,112.76316471152522,111.62238479495747,112.22178013275128,407500
2016-01-08,109.3021469116211,112.80182920926418,109.16680077518623,112.45379417962846,635800
2016-01-11,110.99398803710938,111.06166110962168,109.68886028105102,110.46227314617316,511500
2016-01-12,111.98008728027344,112.8405052009913,110.66528986474269,112.77283213000715,341200
